trade_day,group1,group2,group3,group4,group5,Benchmark
20120131,0.8031149043567419,0.8477830227537051,0.8434429412364227,1.058231575868825,0.9560009594065396,0.5701113388210244
20120229,0.7332922125691317,0.7993469362784469,0.7875345250034457,1.0095566796165116,0.9081354506423609,0.5313173034115438
20120330,0.7625217494325208,0.8400494506187407,0.8291066904868839,1.059881483529402,0.9474982422970627,0.5683829174134454
20120427,0.8033800130313481,0.8433823837198765,0.8601970739178688,1.0884008447402858,0.9695842590042405,0.5696566163845953
20120531,0.7464751033698658,0.8036242603035687,0.8147206127092832,1.0216114159349328,0.9227982256318961,0.5327702076075216
20120629,0.6788119384448773,0.733760797160715,0.7449637920352764,0.9419372835051865,0.8452749244245014,0.5049176467583658
20120731,0.6761232815244294,0.740826053024533,0.7433079341709328,0.9882603942262042,0.8324949593485056,0.47720273629929527
20120831,0.6815808155712878,0.75186773418091,0.7532076326959813,0.9996613837028921,0.8570959848064653,0.4963002129035987
20120928,0.6840030425364118,0.7420940173885868,0.7394547785807875,0.9950583348599734,0.857178838069863,0.4880139191381875
20121031,0.6059230778659025,0.6636086592009786,0.6742371184785573,0.883866775331469,0.752640728283644,0.46308989198123723
20121130,0.6988608167581943,0.7819886022277168,0.7915586784519586,1.0270661465432371,0.8909062874766313,0.5460461115820902
20121231,0.7561918693160172,0.834030422450308,0.8531791951144637,1.0839707993239722,0.9381820613696188,0.5815257160579786
20130131,0.7851177132507219,0.867557116415078,0.8781976104200812,1.1139812491114047,1.0015807369735013,0.5785919880114303
20130228,0.7565971336598687,0.8360064207492635,0.8644104179217067,1.0676854288695177,0.9703504408530735,0.5400143840329011
20130329,0.7453398678001665,0.8195022775558688,0.8487535683345707,1.0553298711760628,0.9652573114605852,0.5296739395563287
20130426,0.8639508750391159,0.935739961360147,0.9857815120318811,1.2132784229804214,1.1293817133852968,0.5641125088493403
20130531,0.7533689377625199,0.7881574229023649,0.8657591600228911,1.0347331069711339,0.9657888201824683,0.4762874477778013
20130628,0.7919274897209622,0.8460322394321377,0.9401378848659059,1.101554661917877,1.0170644797968098,0.47463867313681235
20130731,0.8338208768205007,0.9007937872688541,1.003920804391365,1.1678869333101358,1.1010052410099689,0.500802852393115
20130830,0.8830797792000286,0.9895554546856611,1.0549590658388113,1.2456379270042868,1.2035301150098014,0.5213913251252438
20130930,0.8288097614572452,0.9450458475687982,1.032297907660801,1.1886520057557026,1.1438670140236493,0.5137471834154658
20131031,0.8874423969605626,1.018750844386098,1.1272189536945267,1.288239484877461,1.2452221579853147,0.5278641399307119
20131129,0.8557020526932596,0.9982707360174405,1.0951178297971034,1.2687122355470892,1.2130486323132408,0.5042908613343304
20131231,0.8913692178794507,1.040421547822857,1.1203088090612836,1.3268941289251475,1.2934973752246157,0.4766794050992547
20140130,0.9126888812487569,1.0851604489456408,1.1201682339117174,1.3729291937339667,1.2990613849328856,0.4715978115319431
20140228,0.876295443764965,1.0146808137072194,1.0625371254604492,1.3103107893091006,1.2338675001493613,0.4645278624084796
20140331,0.8574266690138759,0.9902631217101532,1.0526155392357408,1.2881850214676605,1.2101530229040416,0.46720165630645505
20140430,0.876890871944463,1.0129509989834482,1.0870045212367543,1.333656945186204,1.2410490586383662,0.46672658931551636
20140530,0.9220371624727708,1.0689244958460162,1.1249857157981142,1.3742220881812353,1.3079369764873223,0.4685995869189711
20140630,0.9593346597627982,1.1436194806943647,1.2132819393479033,1.445415657208698,1.3824306351357147,0.5086681870253256
20140731,0.9975232859311346,1.2028106725650822,1.2742503884684504,1.543032766808727,1.438356147612247,0.5060788013854212
20140829,1.1165881737072936,1.3488199004004142,1.4090487669979044,1.6790325538351407,1.6142099505186656,0.5304708400850925
